Année;Région Code;Région;Sexe;Taux standardisé;Borne inférieure de l'intervalle de confiance du taux standardisé;Borne supérieure de l'intervalle de confiance du taux standardisé;Test statistique - Différences régionales
2010;75;Nouvelle Aquitaine;Hommes;19.375400000000003;16.9346;22.0744;C
2010;76;Occitanie;Hommes;21.151400000000002;18.5158;24.0513;C
2010;44;Grand Est;Hommes et Femmes;8.913400000000001;7.7491;10.2331;A
2010;75;Nouvelle Aquitaine;Hommes et Femmes;12.2856;10.9224;13.7926;C
2010;84;Auvergne et Rhône-Alpes;Hommes et Femmes;11.2478;10.019599999999999;12.6055;B
2014;24;Centre-Val de Loire;Femmes;6.9995;4.232600000000001;11.3605;B
2014;27;Bourgogne et Franche-Comté;Femmes;4.9227;2.9661;8.0627;B
2014;32;Hauts-de-France;Femmes;4.627;3.0331;6.9981;B
2014;53;Bretagne;Femmes;4.4697000000000005;2.8076;7.044300000000001;B
2014;93;Provence-Alpes-Côte d'Azur;Femmes;5.7506;4.1246;7.9644;B
2014;27;Bourgogne et Franche-Comté;Hommes;14.533;10.5457;19.695899999999998;B
2014;28;Normandie;Hommes;12.793299999999999;9.3109;17.3294;B
2014;52;Pays de la Loire;Hommes;15.0479;11.2845;19.7865;B
2014;53;Bretagne;Hommes;13.469100000000001;9.9634;17.9621;B
2014;75;Nouvelle Aquitaine;Hommes;13.872200000000001;11.2577;16.977600000000002;B
2014;84;Auvergne et Rhône-Alpes;Hommes;12.5928;10.3502;15.2386;B
2014;93;Provence-Alpes-Côte d'Azur;Hommes;15.7002;12.457799999999999;19.5977;B
2014;11;Île-de-France;Hommes et Femmes;7.2612;6.1389;8.5699;A
2014;24;Centre-Val de Loire;Hommes et Femmes;11.6711;8.8618;15.2221;B
2014;32;Hauts-de-France;Hommes et Femmes;9.971;8.080400000000001;12.2449;B
2014;44;Grand Est;Hommes et Femmes;10.365;8.319899999999999;12.842300000000002;B
2014;75;Nouvelle Aquitaine;Hommes et Femmes;9.6344;8.0763;11.4556;B
2017;52;Pays de la Loire;Femmes;3.0609;2.0705999999999998;4.5028;A
2017;76;Occitanie;Femmes;6.5588;5.2473;8.1698;C
2017;84;Auvergne et Rhône-Alpes;Femmes;5.3341;4.2794;6.6309000000000005;B
2017;75;Nouvelle Aquitaine;Hommes;18.9888;16.311700000000002;21.989900000000002;C
2017;84;Auvergne et Rhône-Alpes;Hommes;14.804400000000001;12.7929;17.0703;B
2017;24;Centre-Val de Loire;Hommes et Femmes;10.3158;8.179599999999999;12.931400000000002;B
2017;27;Bourgogne et Franche-Comté;Hommes et Femmes;8.864700000000001;7.115;10.9937;B
2017;44;Grand Est;Hommes et Femmes;10.4375;8.997399999999999;12.0776;B
2017;75;Nouvelle Aquitaine;Hommes et Femmes;12.341199999999999;10.831100000000001;14.028599999999999;C
2017;93;Provence-Alpes-Côte d'Azur;Hommes et Femmes;11.548;9.8682;13.4709;B
2021;3;Guyane;Femmes;1.6;0.5;3.8;B
2021;11;Île-de-France;Femmes;3.1;2.1;4.3999999999999995;B
2021;24;Centre-Val de Loire;Femmes;3.9;2.0;6.800000000000001;B
2021;27;Bourgogne et Franche-Comté;Femmes;2.3;1.0;4.6;B
2021;28;Normandie;Femmes;2.4;1.2;4.3;B
2021;32;Hauts-de-France;Femmes;3.0;1.7999999999999998;4.8;B
2021;52;Pays de la Loire;Femmes;4.3;2.6;6.6000000000000005;B
2021;75;Nouvelle Aquitaine;Femmes;5.1;3.5999999999999996;7.000000000000001;C
2021;1;Guadeloupe;Hommes;8.3;6.0;11.1;A
2021;28;Normandie;Hommes;13.0;9.1;17.8;B
2021;44;Grand Est;Hommes;14.099999999999998;11.1;17.5;B
2021;1;Guadeloupe;Hommes et Femmes;4.8;3.5999999999999996;6.3;A
2021;11;Île-de-France;Hommes et Femmes;6.1;5.1;7.3;A
2021;27;Bourgogne et Franche-Comté;Hommes et Femmes;6.800000000000001;5.1;8.799999999999999;B
2021;28;Normandie;Hommes et Femmes;7.5;5.5;10.100000000000001;B
2021;32;Hauts-de-France;Hommes et Femmes;7.000000000000001;5.6000000000000005;8.6;B
2021;76;Occitanie;Hommes et Femmes;10.7;9.1;12.6;C
2021;93;Provence-Alpes-Côte d'Azur;Hommes et Femmes;8.799999999999999;7.199999999999999;10.6;B
