Num_Acc;id_vehicule;num_veh;place;catu;grav;sexe;an_nais;trajet;secu1;secu2;secu3;locp;actp;etatp
202000011536;154 721 955;B01;2;2;4;2;1973;5;1;5; -1;0;0; -1
202000011536;154 721 955;B01;8;2;1;2;2007;5;8; -1; -1;0;0; -1
202000011536;154 721 955;B01;2;2;4;1;2010;5;8; -1; -1;0;0; -1
202000011536;154 721 955;B01;2;2;1;2;2008;5;8; -1; -1;0;0; -1
202000011536;154 721 955;B01;7;2;3;1;2007;5;8; -1; -1;0;0; -1
202000011536;154 721 955;B01;1;1;3;2;1982;5;1;5; -1;0;0; -1
202000011636;154 721 768;A01;1;1;1;1;2004;0;2;0; -1; -1; -1; -1
202000011636;154 721 768;A01;2;2;4;1;1972;0;2;0; -1; -1; -1; -1
202000011636;154 721 768;A01;10;3;4;1;1983;9;0; -1; -1;9;3;1
202000011941;154 721 241;B01;1;1;4;2;1977;9;1;8; -1; -1; -1; -1
202000011941;154 721 243;A01;1;1;1;1;1957;4;1;8; -1; -1; -1; -1
202000012253;154 720 719;A01;1;1;1;1;1996;0;2;8; -1; -1; -1; -1
202000012253;154 720 720;B01;1;1;4;2;2001;9;2;8; -1; -1; -1; -1
202000012254;154 720 717;A01;1;1;1;1;1955;9;1;8; -1; -1; -1; -1
202000012254;154 720 718;B01;1;1;4;1;1984;9;2;8; -1; -1; -1; -1
202000012309;154 720 620;A01;7;2;1;2;2013;5;1; -1; -1;0;0; -1
202000012309;154 720 620;A01;2;2;3;2;1969;5;1; -1; -1;0;0; -1
202000012309;154 720 620;A01;1;1;1;1;1974;5;1; -1; -1;0;0; -1
202000012309;154 720 621;B01;1;1;1;1;1995;0;1; -1; -1;0;0; -1
202000012327;154 720 592;A01;1;1;4;1;1992;5;1;8; -1; -1; -1; -1
202000012345;154 720 559;B01;1;1;4;1;1968;0;1;8; -1; -1; -1; -1
202000012345;154 720 560;A01;2;2;1;1;1997;0;1;8; -1; -1; -1; -1
202000012345;154 720 560;A01;1;1;1;1;1986;0;1;8; -1; -1; -1; -1
202000012346;154 720 557;B01;1;1;4;2;1981;0;2;8; -1; -1; -1; -1
202000012346;154 720 558;A01;1;1;1;1;1969;0;1;8; -1; -1; -1; -1
202000012347;154 720 555;B01;1;1;1;1;1988;0;1;0; -1; -1; -1; -1
202000012347;154 720 556;A01;1;1;4;2;1969;0;2;0; -1; -1; -1; -1
202000012493;154 720 301;A01;10;3;4;2;1960;0;0; -1; -1;3;3;1
202000012493;154 720 301;A01;1;1;1;1;1993;9;8;0; -1; -1; -1; -1
202000012494;154 720 299;A01;1;1;1;1;1938;5;1;8; -1; -1; -1; -1
202000012494;154 720 300;B01;1;1;4;2;1976;1;1;0; -1; -1; -1; -1
202000012832;154 719 718;B01;1;1;4;1;1994;0;2;0; -1; -1;0; -1
202000012993;154 719 442;B01;1;1;3;1;1983;0;2; -1; -1;0;0; -1
202000012993;154 719 443;A01;1;1;1;1;1997;1;1; -1; -1;0;0; -1
202000012995;154 719 437;B01;1;1;1;2;1991;5;1; -1; -1;0;0; -1
202000012995;154 719 439;A01;1;1;4;1;1985;5;2; -1; -1;0;0; -1
202000012997;154 719 435;B01;1;1;3;1;1963;5;2; -1; -1;0;0; -1
202000012997;154 719 436;A01;1;1;4;2;1954;1;1; -1; -1;0;0; -1
202000013013;154 719 406;A01;1;1;3;1;1982;0;2; -1; -1;0;0; -1
202000013026;154 719 388;A01;1;1;1;1;1989;1;1; -1; -1;0;0; -1
202000013026;154 719 388;A01;10;3;2;1;2007;2;0; -1; -1;1;3;1
202000013032;154 719 377;A01;2;2;3;1;1967;0;1; -1; -1;0;0; -1
202000013032;154 719 377;A01;1;1;4;1;1957;0;1; -1; -1;0;0; -1
202000013036;154 719 375;B01;1;1;3;1;1987;9;2; -1; -1;0;0; -1
202000013036;154 719 376;A01;2;2;1;2;2002;5;1; -1; -1;0;0; -1
202000013036;154 719 376;A01;1;1;1;1;2000;5;1; -1; -1;0;0; -1
202000013216;154 719 056;B01;1;1;1;1;1956;1;1; -1; -1;0;0; -1
202000013216;154 719 057;A01;1;1;3;1;1996;5;1; -1; -1;0;0; -1
202000013263;154 718 964;B01;1;1;4;1;1971;0;2;8; -1; -1; -1; -1
202000013263;154 718 966;A01;1;1;1;1;1981;0;1;8; -1; -1; -1; -1
202000013264;154 718 961;B01;1;1;4;1;1986;0;8;0; -1; -1; -1; -1
202000013264;154 718 963;A01;1;1;1;1;1986;0;1;0; -1; -1; -1; -1
202000013264;154 718 963;A01;2;2;1;1;1990;0;1;0; -1; -1; -1; -1
202000013264;154 718 963;A01;3;2;1;2;1977;0;1;0; -1; -1; -1; -1
202000013264;154 718 963;A01;5;2;1;1;1979;0;1;8; -1; -1; -1; -1
202000013265;154 718 957;B01;1;1;4;1;1953;0;2;0; -1; -1; -1; -1
202000013265;154 718 958;A01;1;1;1;1;1962;0;1;8; -1; -1; -1; -1
202000013420;154 718 699;A01;1;1;4;1;2002;9;8; -1; -1;0;0; -1
202000013420;154 718 699;A01;2;2;3;1;2002;9;8; -1; -1;0;0; -1
202000013421;154 718 698;A01;1;1;2;1;1979;5;2; -1; -1;0;0; -1
202000013465;154 718 618;A01;1;1;3;1;1992;1;2;8; -1; -1; -1; -1
202000013466;154 718 616;B01;1;1;1;1;1978;5;1;0; -1; -1; -1; -1
202000013466;154 718 617;A01;1;1;4;1;2002;9;2;8; -1; -1; -1; -1
202000013664;154 718 239;A01;1;1;4;2;1999;0;1;0; -1; -1; -1; -1
202000013900;154 717 844;A01;1;1;2;2;1982;3;2; -1; -1;0;0; -1
202000013900;154 717 844;A01;2;2;3;1;2009;3;2; -1; -1;0;0; -1
202000013902;154 717 841;A01;10;3;4;2;2010;2;0; -1; -1;2;3;1
202000013902;154 717 841;A01;1;1;1;2;1994;0;1; -1; -1;0;0; -1
202000013906;154 717 832;A01;1;1;3;1;1969;0;0; -1; -1;0;0; -1
202000013944;154 717 772;A01;1;1;2;2;1997;0;1;8; -1; -1; -1; -1
202000013944;154 717 772;A01;2;2;4;1;1985;0;8;0; -1; -1; -1; -1
202000013944;154 717 772;A01;2;2;4;2;1977;0;8;0; -1; -1; -1; -1
202000014124;154 717 459;B01;2;2;4;2;2008;0;2;8; -1; -1; -1; -1
