Num_Acc;catr;voie;v1;v2;circ;nbv;vosp;prof;pr;pr1;plan;lartpc;larrout;surf;infra;situ;vma
202000020138;3;0024;0;;2;2;0;1;0;200;1;; -1;1;0;1;80
202000020299;3;0024; -1;;2;2;0;1;2;100;1;; -1;2;0;1;80
202000020531;2;1;0;;2;2;0;1;50;200;1;; -1;1;0;1;80
202000020563;4;MORTIN (CITE);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000020684;3;0025;0;A;2;2;0;1;11;300;1;; -1;1;0;1;80
202000020688;2;1; -1;;2;2;0;1;180;900;3;; -1;1;0;1;80
202000020945;4;Chemin SOURCE DE BADUEL;0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000021397;3;0018;0;;2;1;0;1;2;900;1;; -1;1;0;1;50
202000021706;4;LAFAURIE (CITE);0;; -1;2;0;1;(1);(1);1;; -1;1;9;1;50
202000021765;2;1; -1;;2;2;0;1;35;500;1;; -1;1;0;1;80
202000021792;3;0017;0;;2;2;0;1;0;350;1;; -1;1;9;1;50
202000022002;3;0018;0;;2;2;0;3;0;300;1;; -1;1;0;1;50
202000022163;4;Cité chatenay;0;;2;1;0;1;(1);(1);1;; -1;1;0;1;50
202000022599;4;Route de la distillerie; -1;;2;2;0;1;(1);(1);1;; -1;1;0;3;50
202000022647;4;Route de Mango;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;30
202000022648;4;Rue Ernest prevot;0;;1;2;0;1;(1);(1);1;; -1;1;0;1;50
202000022649;4;FLAMBOYANTS (RUE DES);0;;2;2;0;1;(1);(1);3;; -1;1;0;1;50
202000022819;4;Rue Justin catayee;0;;2;2;0;1;(1);(1);1;; -1;2;9;1;50
202000022820;4;RUE DU VIEUX PORT;0;; -1;2;0;1;(1);(1);1;; -1;2;9;1;30
202000022936;4;Route de Mango;0;;2;1;0;2;(1);(1);1;; -1;1;0;1;50
202000023161;2;2;0;;2;2;0;1;7;900;1;; -1;1;0;1;80
202000023162;3;6; -1;;2;2;0;1;3;0;1;; -1;1;0;8;80
202000023433;4;Rue Lallouette;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000023637;4;Rue du Lt Colonel Tourtet;0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000023748;3;24;0;;2;2;0;1;0;100;2;; -1;1;0;1;50
202000023750;3;0001;0;;2;2;2;1;3;800;1;; -1;1;0;1;70
202000023828;3;1; -1;;2;2;3;1;7;0;1;; -1;1;9;8;50
202000023926;4;GALMOT (AVENUE);0;;2;2;0;1;(1);(1);1;; -1;1;0;1;50
202000023927;2;0001;0;;2;1;0;1;1;0;3;; -1;1;0;1;50
202000023928;4;VOLTAIRE(AVENUE);0;;1;2;0;1;0;0;1;; -1;1;0;1;50
202000024293;4;MANDELA  (BOULEVARD);0;;3;1;0;1;(1);(1);1;; -1;1;0;1;50
202000024686;3;0017;0;; -1;1;0;1;0;300;2;; -1;1;0;1;50
202000024687;3;0017;0;;2;0;0;1;0;500;1;; -1;1;0;1;30
202000024688;3;0001;0;;2;1;1;1;4;200;1;; -1;1;0;1;50
202000024689;4;Rue justin catayée;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000024872;3;0018;0;;2;2;0;1;3;200;1;; -1;1;0;1;50
202000025106;3;0018;0;; -1;2;0;1;0;800;2;; -1;2;0;1;50
202000025108;4;HENRI QUINTRIE(RUE);0;;2;1;0;1;(1);(1);1;; -1;1;0;1;30
202000025110;4;Rue CATAYEE (JUSTIN);0;;1;1;0;1;(1);(1);1;; -1;1;0;1;30
202000025287;2;1; -1;;2;2;0;1;14;500;1;; -1;1;0;1;80
202000025310;3;0003;0;;2;1;0;1;2;400;3;; -1;1;0;1;50
202000025462;3;1;0;;2;2;0;1;9;900;1;; -1;1;9;8;50
202000025539;4;DIGUE RONJON;0;;2;1;0;1;(1);(1);1;; -1;1;1;1;50
202000025640;3;0018;0;;2;1;1;1;2;100;1;; -1;1;0;1;50
202000025809;4;rue léon brassiere;0;;1;1;0;1;(1);(1);1;; -1;1;0;1;50
202000025851;3;0017;0;;2;2;0;1;0;800;1;; -1;1;0;1;50
202000025873;4;Rue Léonel Dréan;0;;2;2;0;1;(1);(1);1;;5;1;0;1;50
