Date_RP#Annee;Age_nonScolarise#age_m15_1524_2554_5564_65plus;Sexe_nonScolarise#sexe;Diplome_lePlusEleve_RP#diplome_2015;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_personnes_sorties_du_systeme_scolaire_selon_le_diplôme__par_âge_et_ou_genre_
2019;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97311 - Saint-Laurent-du-Maroni;11410.675506591797
2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97311 - Saint-Laurent-du-Maroni;12052.612670898438
2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97311 - Saint-Laurent-du-Maroni;12151.135955810547
2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97311 - Saint-Laurent-du-Maroni;11501.664825439453
2015;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;863.235800743103
2016;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;648.5484561920166
2017;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;643.2742319107056
2018;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;638.0
2019;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;634.8470106124878
2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;631.6674728393555
2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;627.5115118026733
2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97312 - Sinnamary;632.2980251312256
2015;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;589.0
2016;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;602.5581426620483
2017;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;616.5921945571899
2018;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;444.79083251953125
2019;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;474.4756426811218
2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;504.0
2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;528.8221788406372
2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97313 - Montsinéry-Tonnegrande;554.9393577575684
2015;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;49.49999928474426
2016;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;54.60000157356262
2017;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;60.0
2018;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;66.00000047683716
2019;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;72.60000228881836
2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;79.80000162124634
2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;64.46976220607758
2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97314 - Ouanary;51.60589003562927
2015;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;21.71052610874176
2016;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;21.855263710021973
2017;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;22.0
2018;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;22.0
2019;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;22.0
2020;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;22.144736289978027
2021;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;97.90875339508057
2022;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97352 - Saül;92.95492601394653
2015;Age rgp : -15 ans, 15-24, 25-54, 55-64, 65 ou +;Sexe;diplome_2015#Aucun diplôme ou au plus BEPC, brevet des collèges, DNB;97353 - Maripasoula;6546.6293296813965
