Date_RP#Annee;Type_famille_RP#type_famille_3postes;Nombre_enfants_moins_25ans#nombre0_4plus;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Nombre_de_familles_selon_type_de_famille_et_nombre_d’enfant_s__de_moins_de_25_ans
;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Guadeloupe;33937.0593508482
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Guyane;27904.942882061005
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Hauts-de-France;227383.6457027197
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Martinique;30127.3060195446
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Normandie;115255.2357674241
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Nouvelle-Aquitaine;206138.10756665468
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Occitanie;231937.11162692308
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Pays de la Loire;115487.03307759762
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Provence-Alpes-Côte d'Azur;210759.80626267195
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Réunion;67003.47977149487
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Île-de-France;514610.38120502234

Date_RP#Annee;Type_famille_RP#type_famille_3postes;Nombre_enfants_moins_25ans#nombre0_4plus;Lieu_domicile#France;Nombre_de_familles_selon_type_de_famille_et_nombre_d’enfant_s__de_moins_de_25_ans_1
;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;;;Famille monoparentale;1§2§3§4 ou plus;;
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Departements d'outre mer;154128.18748152256
2020;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;France métropolitaine;2301151.357453824
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Departements d'outre mer;156974.76273214817
2021;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;France métropolitaine;2359040.3440058827
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;Departements d'outre mer;158972.78802394867
2022;Type famille : Monop, Couple av enf, Couple ss enf#Famille monoparentale;nombre0_4plus;France métropolitaine;2382303.3242309093
