;;;Date_deces_Cim10#Annee;Cause_deces#Causes_de_deces_alphabetique;Lieu_domicile#commune;Nb_deces_standardises
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97358 - Saint-Élie;0,00
;;;2018;Diabète;97358 - Saint-Élie;0,00
;;;2018;Maladie chronique du foie;97358 - Saint-Élie;0,00
;;;2018;Maladie de Parkinson;97358 - Saint-Élie;0,00
;;;2018;Maladie hypertensive;97358 - Saint-Élie;0,00
;;;2018;Maladies vasculaires cérébrales;97358 - Saint-Élie;0,00
;;;2018;Sida;97358 - Saint-Élie;0,00
;;;2018;Alzheimer;97360 - Apatou;0,00
;;;2018;Asthme;97360 - Apatou;0,00
;;;2018;Cancer de la prostate;97360 - Apatou;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97360 - Apatou;0,00
;;;2018;Cancer du côlon-rectum;97360 - Apatou;0,00
;;;2018;Cancer du sein;97360 - Apatou;0,00
;;;2018;Cardiopathies ischémiques;97360 - Apatou;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97360 - Apatou;0,00
;;;2018;Diabète;97360 - Apatou;0,00
;;;2018;Maladie chronique du foie;97360 - Apatou;0,00
;;;2018;Maladie de Parkinson;97360 - Apatou;0,00
;;;2018;Maladie hypertensive;97360 - Apatou;64,52
;;;2018;Maladies vasculaires cérébrales;97360 - Apatou;119,69
;;;2018;Sida;97360 - Apatou;0,00
;;;2018;Alzheimer;97362 - Papaichton;0,00
;;;2018;Asthme;97362 - Papaichton;0,00
;;;2018;Cancer de la prostate;97362 - Papaichton;0,00
;;;2018;Cancer de la trachée, des bronches et du poumon;97362 - Papaichton;0,00
;;;2018;Cancer du côlon-rectum;97362 - Papaichton;0,00
;;;2018;Cancer du sein;97362 - Papaichton;0,00
;;;2018;Cardiopathies ischémiques;97362 - Papaichton;0,00
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;97362 - Papaichton;11,05
;;;2018;Diabète;97362 - Papaichton;215,59
;;;2018;Maladie chronique du foie;97362 - Papaichton;0,00
;;;2018;Maladie de Parkinson;97362 - Papaichton;0,00
;;;2018;Maladie hypertensive;97362 - Papaichton;0,00
;;;2018;Maladies vasculaires cérébrales;97362 - Papaichton;215,59
;;;2018;Sida;97362 - Papaichton;0,00
;;;2018;Alzheimer;Auvergne-Rhône-Alpes;134,60
;;;2018;Asthme;Auvergne-Rhône-Alpes;3,22
;;;2018;Cancer de la prostate;Auvergne-Rhône-Alpes;43,02
;;;2018;Cancer de la trachée, des bronches et du poumon;Auvergne-Rhône-Alpes;139,11
;;;2018;Cancer du côlon-rectum;Auvergne-Rhône-Alpes;74,70
;;;2018;Cancer du sein;Auvergne-Rhône-Alpes;51,11
;;;2018;Cardiopathies ischémiques;Auvergne-Rhône-Alpes;135,64
;;;2018;Chap 10 : Maladies de l'appareil respiratoire;Auvergne-Rhône-Alpes;192,80
;;;2018;Diabète;Auvergne-Rhône-Alpes;170,56
;;;2018;Maladie chronique du foie;Auvergne-Rhône-Alpes;46,06
;;;2018;Maladie de Parkinson;Auvergne-Rhône-Alpes;58,23
;;;2018;Maladie hypertensive;Auvergne-Rhône-Alpes;236,36
