Date_RP#Annee;Age_personne#age_m5_514_1524_2544_4564_65p;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Provence-Alpes-Côte d'Azur;1204514.6192900836
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Réunion;112104.43593257666
2021;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Île-de-France;1872700.1017165184
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Auvergne-Rhône-Alpes;1679208.0789331794
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Bourgogne-Franche-Comté;674509.4734390676
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Bretagne;799230.8749255538
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Centre-Val de Loire;603817.1593731046
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Corse;86433.82662934065
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Grand Est;1177158.8299267292
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Guadeloupe;81287.20319479704
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Guyane;18166.886750400066
2022;Age rgp : -5 ans, 5-14, 15-24, 25-44, 45-64, 65ou+#65 ans et plus;Sexe;Hauts-de-France;1140156.0509726703
