Date_RP#Annee;Age_personne#Age_Decennal_0_85_ss_moins_1an;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;15-24 ans§25-34 ans§35-44 ans§45-54 ans§55-64 ans;masculin§feminin;;
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4949355.315841317
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4948660.825468421
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4949073.136597097
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4962686.310949147
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;4993835.235211134
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;5004688.8194561
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;5018994.149596721
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Auvergne-Rhône-Alpes;5046522.745477647
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1730898.4372518659
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1717583.8119270205
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1702611.410116464
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1692737.0400951505
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1691770.2047957182
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1681935.906293273
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1675828.4860964715
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bourgogne-Franche-Comté;1674094.749243617
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2023391.0792851448
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2021154.7331600487
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2019689.2935180664
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2021184.8080769181
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2033080.1906747222
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2039345.536183834
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2046637.1289692223
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Bretagne;2060283.9194617271
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1576270.7714756727
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1565121.6948383749
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1555499.4032190442
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1545831.6730275154
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1546357.1447113752
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1542462.5246821642
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1536958.579584092
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Centre-Val de Loire;1538654.0061368644
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;204438.98200020194
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;205167.33488452435
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;206535.6390736401
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;207115.99798500538
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;208220.94350025058
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;209170.5273668468
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;210578.70330035686
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Corse;211504.07379221916
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3560055.1784735024
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3535670.203334868
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3512684.3633440137
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3497845.8721238375
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3502365.129582405
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3490184.2865248322
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3477404.7800938636
2022;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Grand Est;3464610.9061567485
2015;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;253781.9998767972
2016;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;250028.256726861
2017;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;246299.64173531532
2018;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;243427.7519981861
2019;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;241072.3384371996
2020;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;239067.62427139282
2021;Age décennale : 0-4, 5-14, 15-24,..., 85 ou +;Sexe;Guadeloupe;239324.20501041412
