Date_RP#Annee;Age_personne#Age_Quinquennal_0_65_ss_moins_1_an;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Personnes_vivant_seules_à_domicile__totale_ou_par_âge_et_ou_genre_
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Auvergne-Rhône-Alpes;537010.461566925
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Bourgogne-Franche-Comté;215546.32313370705
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Bretagne;254678.45196962357
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Centre-Val de Loire;187627.01696163416
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Corse;22874.639417111874
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Grand Est;364885.8700504303
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Guadeloupe;29336.156228542328
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Guyane;5015.057188630104
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Hauts-de-France;366311.9033405781
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Martinique;28223.354820728302
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Normandie;242090.32732486725
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Nouvelle-Aquitaine;467650.08091163635
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Occitanie;440045.0569241047
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Pays de la Loire;247933.08375787735
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Provence-Alpes-Côte d'Azur;408626.9634203911
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Réunion;33253.82279086113
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Île-de-France;649962.1092826128
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Auvergne-Rhône-Alpes;550464.20739007
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Bourgogne-Franche-Comté;221166.72780632973
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Bretagne;261124.92754220963
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Centre-Val de Loire;192930.37211179733
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Corse;24061.322048783302
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Grand Est;373657.35701060295
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Guadeloupe;30502.33033657074
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Guyane;5314.4490032196045
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Hauts-de-France;375491.210729599
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Martinique;29401.235468387604
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Normandie;248101.500313282
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Nouvelle-Aquitaine;480143.55752396584
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Occitanie;454974.0414443016
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Pays de la Loire;251863.19394898415
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Provence-Alpes-Côte d'Azur;417933.7008764744
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Réunion;34820.282001018524
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Île-de-France;662350.5067765713

Date_RP#Annee;Age_personne#Age_Quinquennal_0_65_ss_moins_1_an;Sexe_personne#sexe;Lieu_domicile#France;Personnes_vivant_seules_à_domicile__totale_ou_par_âge_et_ou_genre__1
;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;;;65 ans et plus;masculin§feminin;;
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Departements d'outre mer;90155.1326032877
2020;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;France métropolitaine;4266204.04991889
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Departements d'outre mer;95828.39102876186
2021;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;France métropolitaine;4405242.2880615
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;Departements d'outre mer;100038.29680919647
2022;Age quinquennal : 0-4, 5-9 ..., 65 ou +#65 ans et plus;Sexe;France métropolitaine;4514262.625522971
