Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#commune_stable_ds_tps_0825_sansArr;Population__totale_ou_par_âge_et_ou_genre_
;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97361 - Awala-Yalimapo;374.0
2015;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1362.1382293701172
2016;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1506.1528396606445
2017;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1358.9804458618164
2018;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1228.8913040161133
2019;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1099.0
2020;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1057.985092163086
2021;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;1015.0286331176758
2022;Age : 0,1,2, ..., 65 ou +;Sexe;97362 - Papaichton;972.9529933929443

Date_RP#Annee;Age_personne#age_0_65;Sexe_personne#sexe;Lieu_domicile#Regions_France_2017;Population__totale_ou_par_âge_et_ou_genre__0
;6§7§8§9§10§11§12§13§14§15§16;masculin§feminin;;
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1080099.0503844619
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1088154.178254366
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1093303.5678510964
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1100515.149017334
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1101519.24609828
2020;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1108378.5324026346
2021;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1111789.5292908251
2022;Age : 0,1,2, ..., 65 ou +;Sexe;Auvergne-Rhône-Alpes;1112096.7281588316
2015;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;371754.97223186493
2016;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;371368.46048021317
2017;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;370477.2194404006
2018;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;369049.7869119644
2019;Age : 0,1,2, ..., 65 ou +;Sexe;Bourgogne-Franche-Comté;366806.6638083458
