;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin;;;France hexagonale§Hors France hexagonale;;masculin§feminin
2022;France métropolitaine;50-54 ans;Sexe;4358577.648388565;;;;;;;;;
2022;France métropolitaine;55-59 ans;Sexe;4284671.00681144;;;;;;;;;
2022;France métropolitaine;60-64 ans;Sexe;4063769.426326871;;;;;;;;;
2022;France métropolitaine;65-69 ans;Sexe;3834365.775500059;;;;;;;;;
2022;France métropolitaine;70-74 ans;Sexe;3458631.015688747;;;;;;;;;
2022;France métropolitaine;75-79 ans;Sexe;2487362.4417028725;;;;;;;;;
2022;France métropolitaine;80-84 ans;Sexe;1811152.6014496982;;;;;;;;;
2022;France métropolitaine;85-89 ans;Sexe;1333372.841746211;;;;;;;;;
2022;France métropolitaine;90-94 ans;Sexe;679545.6125740111;;;;;;;;;
2022;France métropolitaine;95 ans et plus;Sexe;218132.3989725411;;;;;;;;;
