Accident_Id;jour;mois;an;hrmn;lum;dep;com;agg;int;atm;col;adr;lat;long
202200049516;7;01;2022;16:30;1;973;97305;1;1;1;3;Route nationale 1;4,9127440000; -52,3719660000
202200049839;22;10;2022;22:10;5;973;97302;2;2;1;2;MONTABO (ROUTE DE) 1;4,9443800000; -52,3098400000
202200049864;7;06;2022;09:10;1;973;97302;1;3;1;3;TROUBIRAN (CHEMIN DE);4,9212500000; -52,3040000000
202200049872;7;06;2022;10:22;1;973;97302;2;1;1;3;MANDELA  (BOULEVARD);4,9382300000; -52,3262000000
202200050051;22;09;2022;10:50;1;973;97362;2;2;1;3;Rue Akabou;3,8084080000; -54,1517290000
202200050131;28;11;2022;19:35;5;973;97302;2;1;1;6;MATOURY (RUE);4,9310200000; -52,3240200000
202200050315;16;12;2022;14:10;1;973;97311;1;1;2;1;Avenue Christophe Colomb;5,4576410000; -54,0409330000
202200050325;14;08;2022;02:45;5;973;97311;2;1;1;6;avenue christophe colomb;5,4827820000; -54,0358690000
202200050494;28;03;2022;20:05;5;973;97302;2;3;1;3;MONTABO (ROUTE DE) 2;4,9395600000; -52,3010900000
202200050505;12;08;2022;20:00;2;973;97302;2;2;1;3;CATAYEE (JUSTIN);4,9389423761; -52,3283234239
202200050512;11;08;2022;12:55;1;973;97302;2;1;1;6;BADUEL (ROUTE DE);4,9322345493; -52,3078688979
202200050520;11;08;2022;23:00;5;973;97302;2;2;1;3;PAYEE (MADAME);4,9415144118; -52,3289470375
202200050562;20;09;2022;07:20;1;973;97302;2;1;1;3;CATAYEE (JUSTIN);4,9399896745; -52,3307079077
202200050568;19;09;2022;13:43;1;973;97302;2;1;1;3;UNIVERSITE CHICAGO (RUE DE);4,9359694914; -52,2980010509
202200050913;15;02;2022;12:50;1;973;97302;2;9;8;7;TOUSSAINT LOUVERTURE (rue);4,9265933486; -52,3046019673
202200050920;15;02;2022;08:05;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9344676788; -52,3114281893
202200051342;5;01;2022;15:13;1;973;97311;2;9;1;6;Boulevard du Général de Gaulle;5,4925430000; -54,0358690000
202200051385;5;01;2022;16:00;1;973;97302;2;9;1;3;MANDELA  (BOULEVARD);4,9390799970; -52,3264861107
202200051387;5;01;2022;14:30;1;973;97302;2;9;1;6;REPUBLIQUE (BD DE LA);4,9389365862; -52,3195418715
202200052098;10;08;2022;12:55;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9322372217; -52,3078179359
202200052130;8;06;2022;17:30;1;973;97302;2;1;1;3;Route de Suzini;4,9252230000; -52,2901420000
202200052448;5;01;2022;23:45;5;973;97311;1;1;2;3;Avenue Christophe Colomb;5,4766157798; -54,0386098623
202200052588;22;10;2022;20:00;5;973;97302;2;9;1;3;MADELEINE (ROUTE DE LA);4,9164300000; -52,3215000000
202200052597;22;10;2022;10:33;1;973;97302;2;2;1;6;BARTHELEMY (RENE);4,9355500000; -52,3309400000
202200052625;19;09;2022;17:45;1;973;97302;2;2;1;3;FELIX EBOUE(ROCADE);4,9295400000; -52,3151300000
202200052634;18;09;2022;10:25;1;973;97302;2;1;1;5;MADELEINE (ROUTE DE LA);4,9230445252; -52,3237931728
202200052683;3;01;2022;14:23;1;973;97302;2;2;2;3;ROBERT VIGNON (RUE);4,9304980123; -52,3222991824
202200052695;3;01;2022;14:40;1;973;97302;2;3;2;3;MONTABO (ROUTE DE) 2;4,9417798541; -52,3041104525
202200052704;3;01;2022;15:00;1;973;97302;1;1;1;3;ZONE COLLERY I OU II;4,9046801304; -52,3207086325
202200052713;3;01;2022;13:50;1;973;97302;2;1;2;3;TIGRE (ROUTE DU);4,9104700000; -52,3082900000
202200052760;27;11;2022;22:45;3;973;97303;2;6;1;7;RN1 PK 146;5,4804110000; -53,2118620000
202200052830;9;07;2022;23:20;5;973;97309;2;1;3;3;Route de Rémire;4,9057530000; -52,2731370000
202200053154;26;03;2022;11:34;1;973;97302;2;1;1;3;CONSTANT CHLORE(RUE);4,9343403002; -52,3206549883
202200053533;10;08;2022;18:20;1;973;97302;2;1;1;3;CATAYEE (JUSTIN);4,9388421668; -52,3304383457
202200053543;10;08;2022;16:52;1;973;97302;1;1;1;5;ROUTE NATIONALE 3;4,9048400000; -52,3189000000
202200053605;3;06;2022;20:30;5;973;97302;2;1;1;5;FELIX EBOUE(ROCADE);4,9301706575; -52,3144108057
202200053613;5;06;2022;23:00;5;973;97302;2;2;1;3;CESAIRE (CITE);4,9305113738; -52,3222965002
202200053779;15;02;2022;06:20;3;973;97305;1;1;3;1;Pk 20, RN1;4,9881460200; -52,4480009079
202200053799;25;11;2022;13:00;1;973;97302;2;3;1;3;CABASSOU (ROUTE DE);4,9200900000; -52,3196000000
202200053841;20;10;2022;20:20;5;973;97302;2;2;1;3;BARTHELEMY (RENE);4,9346400000; -52,3306900000
202200054233;5;05;2022;18:40;4;973;97302;2;9;1;3;BADUEL (ROUTE DE);4,9347600000; -52,3117400000
202200054239;5;05;2022;15:15;1;973;97302;1;1;1;7;ROUTE NATIONALE 1;4,9223800000; -52,3297000000
202200054514;20;10;2022;18:40;5;973;97302;2;2;1;3;MANGO (ROUTE);4,9295800000; -52,3151100000
202200054524;20;10;2022;09:50;1;973;97302;2;1;1;3;MANDELA  (BOULEVARD);4,9389152082; -52,3263922334
202200054533;19;10;2022;12:25;1;973;97302;2;2;1;3;PICHEVIN (DAVID);4,9410334084; -52,3252522945
202200054654;25;03;2022;09:30;1;973;97302;2;1;1;3;BADUEL (ROUTE DE);4,9319100000; -52,3071600000
202200054667;12;02;2022;13:30;1;973;97311;1;1;1;7;Route de Mana;5,5460130000; -53,9413050000
202200054675;14;02;2022;10:00;1;973;97304;1;1;2;3;Route Nationale 1;5,1173610000; -52,6470420000
202200054920;9;08;2022;11:20;1;973;97302;2;1;1;6;RABAN (ROUTE DE);4,9267087028; -52,3139709234
202200054929;12;02;2022;16:30;1;973;97302;2;3;2;6;BOUDINOT (AUGUSTE) CITE THEMIRE;4,9332526860; -52,3195418715
202200054931;1;01;2022;00:30;5;973;97302;2;1;1;3;MERE THERESA (rue);4,9251369436; -52,3125198483
202200054971;12;02;2022;20:00;3;973;97302;2;2;1;6;BARTHELEMY (RENE);4,9336800000; -52,3304400000
202200055018;28;04;2022;14:19;1;973;97302;2;1;1;3;MONTABO (ROUTE DE) 3;4,9372481674; -52,2979715466
202200055028;28;04;2022;10:20;1;973;97302;2;2;2;6;DE GAULLE (AVENUE);4,9390800000; -52,3305100000
202200055163;5;07;2022;10:50;1;973;97302;2;2;2;3;FELIX EBOUE(ROCADE);4,9295900000; -52,3151000000
202200055279;6;05;2022;14:20;1;973;97304;1;1;3;1;RN1 PK46;5,0967580000; -52,6180530000
